task,n_clusters,omega,method,metric_space,horizon,relative_error,association_r2,simplex_violation
CartPole-v1,50,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.42114542884027795,0.46889793261150503,1.1102230246251565e-15
CartPole-v1,50,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.4730614610409499,0.40571604991641486,7.771561172376096e-16
CartPole-v1,80,2.0,kahkm_nlms,kahkm_association,1,0.1584588355454823,0.010744522713106663,0.008270823308424767
CartPole-v1,80,2.0,kahkm_nlms,kahkm_association,10,0.13499787026884366,0.15765884804102914,0.004500208644499572
CartPole-v1,80,2.0,kahkm_nlms,kahkm_association,20,0.13935588274486088,0.12952902922094145,0.0030863780634250975
CartPole-v1,80,2.0,kahkm_nlms,kahkm_association,5,0.15192534388552326,0.05192825486890984,0.005208376410240849
CartPole-v1,80,2.0,kahkm_nlms,kahkm_association,50,0.1444807167676268,0.09407313755642666,0.00022081986595095306
CartPole-v1,80,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.15836896506148976,0.011305582424482097,8.881784197001252e-16
CartPole-v1,80,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.1349388276649878,0.15802725396363793,8.881784197001252e-16
CartPole-v1,80,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.13930944977270326,0.12981906760004736,8.881784197001252e-16
CartPole-v1,80,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.1518373016420238,0.052477671847703466,8.881784197001252e-16
